date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:35:13	102468/102468	---MCZ	200	added ('OK')	text/html	etag:ea20fa4e287767cedc52fe9cefb79171	https://aisolutions61.godaddysites.com/ai-solusion-for-seo	C:/My%20Web%20Sites/page/aisolutions61.godaddysites.com/ai-solusion-for-seo.html	(from https://aisolutions61.godaddysites.com/)
05:35:14	98673/98673	---MCZ	200	added ('OK')	text/html	etag:791b1b2c160eb23b1060fc25b662f1ab	https://aisolutions61.godaddysites.com/ai-solution-for-videos	C:/My%20Web%20Sites/page/aisolutions61.godaddysites.com/ai-solution-for-videos.html	(from https://aisolutions61.godaddysites.com/)
05:35:14	97785/97785	---MCZ	200	added ('OK')	text/html	etag:2c9e2ec6f9d347581c7f407a29577402	https://aisolutions61.godaddysites.com/ai-solution-for-conten	C:/My%20Web%20Sites/page/aisolutions61.godaddysites.com/ai-solution-for-conten.html	(from https://aisolutions61.godaddysites.com/)
05:35:14	98569/98569	---MCZ	200	added ('OK')	text/html	etag:b1e626c24116924135499f059b6e5cdb	https://aisolutions61.godaddysites.com/ai-solution-for-images	C:/My%20Web%20Sites/page/aisolutions61.godaddysites.com/ai-solution-for-images.html	(from https://aisolutions61.godaddysites.com/)
05:35:14	113763/113763	---MCZ	200	added ('OK')	text/html	etag:f61ba1e0994970a09d618fb3e3f9ec92	https://aisolutions61.godaddysites.com/ai-domain	C:/My%20Web%20Sites/page/aisolutions61.godaddysites.com/ai-domain.html	(from https://aisolutions61.godaddysites.com/)
05:35:15	107965/107965	---MCZ	200	added ('OK')	text/html	etag:6e8d60ad7217f6b896c3f39d14c5c487	https://aisolutions61.godaddysites.com/private-policy	C:/My%20Web%20Sites/page/aisolutions61.godaddysites.com/private-policy.html	(from https://aisolutions61.godaddysites.com/)
05:35:18	53875/53875	---M-Z	200	added ('OK')	application/javascript	etag:%22fc5c5ca526fae9efd69a31254908f021%22	http://img1.wsimg.com/blobby/go/853a72ce-af92-467e-ad51-70445f661548/gpub/a5293db49e46319a/script.js	C:/My%20Web%20Sites/page/img1.wsimg.com/blobby/go/853a72ce-af92-467e-ad51-70445f661548/gpub/a5293db49e46319a/script.js	(from https://aisolutions61.godaddysites.com/)
05:35:18	65126/65126	---M-Z	200	added ('OK')	application/javascript	etag:%22fc71e1bd5bf603474166bbe1b9177938%22	http://img1.wsimg.com/blobby/go/853a72ce-af92-467e-ad51-70445f661548/gpub/a556b36a0def9c4e/script.js	C:/My%20Web%20Sites/page/img1.wsimg.com/blobby/go/853a72ce-af92-467e-ad51-70445f661548/gpub/a556b36a0def9c4e/script.js	(from https://aisolutions61.godaddysites.com/)
05:35:20	46737/46737	---M-Z	200	added ('OK')	application/javascript	etag:%223df39ea646465f9fd99a6b4f1f6bfa12%22	http://img1.wsimg.com/blobby/go/853a72ce-af92-467e-ad51-70445f661548/gpub/d9b96435c71df48a/script.js	C:/My%20Web%20Sites/page/img1.wsimg.com/blobby/go/853a72ce-af92-467e-ad51-70445f661548/gpub/d9b96435c71df48a/script.js	(from https://aisolutions61.godaddysites.com/frontier-ai-tools)
05:35:20	46747/46747	---M-Z	200	added ('OK')	application/javascript	etag:%22bd75bf47ceedebbe6f8ece4e2ae3c466%22	http://img1.wsimg.com/blobby/go/853a72ce-af92-467e-ad51-70445f661548/gpub/54ce7314a8873193/script.js	C:/My%20Web%20Sites/page/img1.wsimg.com/blobby/go/853a72ce-af92-467e-ad51-70445f661548/gpub/54ce7314a8873193/script.js	(from https://aisolutions61.godaddysites.com/top10-ai-code-generate)
05:35:22	46735/46735	---M-Z	200	added ('OK')	application/javascript	etag:%2291878c85c270009dd1b378ddfc2f7ba7%22	http://img1.wsimg.com/blobby/go/853a72ce-af92-467e-ad51-70445f661548/gpub/dbda4c53d5b4fbb9/script.js	C:/My%20Web%20Sites/page/img1.wsimg.com/blobby/go/853a72ce-af92-467e-ad51-70445f661548/gpub/dbda4c53d5b4fbb9/script.js	(from https://aisolutions61.godaddysites.com/top10-ai-email-generators)
05:35:22	46749/46749	---M-Z	200	added ('OK')	application/javascript	etag:%22aea0e293a201b48760862fb53a81c942%22	http://img1.wsimg.com/blobby/go/853a72ce-af92-467e-ad51-70445f661548/gpub/e9f3614698b90545/script.js	C:/My%20Web%20Sites/page/img1.wsimg.com/blobby/go/853a72ce-af92-467e-ad51-70445f661548/gpub/e9f3614698b90545/script.js	(from https://aisolutions61.godaddysites.com/top10-ai-image-generate)
05:35:24	46751/46751	---M-Z	200	added ('OK')	application/javascript	etag:%2213be09bd48b588d99629804ab0a54740%22	http://img1.wsimg.com/blobby/go/853a72ce-af92-467e-ad51-70445f661548/gpub/5fa8c23bbff7f698/script.js	C:/My%20Web%20Sites/page/img1.wsimg.com/blobby/go/853a72ce-af92-467e-ad51-70445f661548/gpub/5fa8c23bbff7f698/script.js	(from https://aisolutions61.godaddysites.com/top10-ai-video-generator)
05:35:24	46753/46753	---M-Z	200	added ('OK')	application/javascript	etag:%2239a6adedddaec3959bdf5d685f95acd9%22	http://img1.wsimg.com/blobby/go/853a72ce-af92-467e-ad51-70445f661548/gpub/24ca1b4dfb0ab7e6/script.js	C:/My%20Web%20Sites/page/img1.wsimg.com/blobby/go/853a72ce-af92-467e-ad51-70445f661548/gpub/24ca1b4dfb0ab7e6/script.js	(from https://aisolutions61.godaddysites.com/top10-ai-writing-generate)
05:35:25	46753/46753	---M-Z	200	added ('OK')	application/javascript	etag:%226f4fdf1d2789d66a3cc1c1387d97b51d%22	http://img1.wsimg.com/blobby/go/853a72ce-af92-467e-ad51-70445f661548/gpub/3fa4a79a9e4d36a5/script.js	C:/My%20Web%20Sites/page/img1.wsimg.com/blobby/go/853a72ce-af92-467e-ad51-70445f661548/gpub/3fa4a79a9e4d36a5/script.js	(from https://aisolutions61.godaddysites.com/stuff-picked-for-all-user)
05:35:26	46749/46749	---M-Z	200	added ('OK')	application/javascript	etag:%22966e876a8444a4723de28dd9687b3727%22	http://img1.wsimg.com/blobby/go/853a72ce-af92-467e-ad51-70445f661548/gpub/ca69aecb8c47ffa0/script.js	C:/My%20Web%20Sites/page/img1.wsimg.com/blobby/go/853a72ce-af92-467e-ad51-70445f661548/gpub/ca69aecb8c47ffa0/script.js	(from https://aisolutions61.godaddysites.com/ai-solution-for-writing)
05:35:27	49099/49099	---M-Z	200	added ('OK')	application/javascript	etag:%22e9234aeabf1bcc6fc85b5a4db1b0ffb9%22	http://img1.wsimg.com/blobby/go/853a72ce-af92-467e-ad51-70445f661548/gpub/32eb9f1f97104963/script.js	C:/My%20Web%20Sites/page/img1.wsimg.com/blobby/go/853a72ce-af92-467e-ad51-70445f661548/gpub/32eb9f1f97104963/script.js	(from https://aisolutions61.godaddysites.com/ai-solusion-for-seo)
05:35:28	49087/49087	---M-Z	200	added ('OK')	application/javascript	etag:%229b4ced548dd0285ca7b16edb1861c757%22	http://img1.wsimg.com/blobby/go/853a72ce-af92-467e-ad51-70445f661548/gpub/f80a92f82d9a688e/script.js	C:/My%20Web%20Sites/page/img1.wsimg.com/blobby/go/853a72ce-af92-467e-ad51-70445f661548/gpub/f80a92f82d9a688e/script.js	(from https://aisolutions61.godaddysites.com/ai-solution-for-videos)
05:35:28	46747/46747	---M-Z	200	added ('OK')	application/javascript	etag:%22f708340a02df5ba71645cf6083d96a66%22	http://img1.wsimg.com/blobby/go/853a72ce-af92-467e-ad51-70445f661548/gpub/d4b19621a24d5033/script.js	C:/My%20Web%20Sites/page/img1.wsimg.com/blobby/go/853a72ce-af92-467e-ad51-70445f661548/gpub/d4b19621a24d5033/script.js	(from https://aisolutions61.godaddysites.com/ai-solution-for-conten)
05:35:29	49088/49088	---M-Z	200	added ('OK')	application/javascript	etag:%229ea1d33d569b9ba38336b34ab49c6eef%22	http://img1.wsimg.com/blobby/go/853a72ce-af92-467e-ad51-70445f661548/gpub/573d36f2c95eb190/script.js	C:/My%20Web%20Sites/page/img1.wsimg.com/blobby/go/853a72ce-af92-467e-ad51-70445f661548/gpub/573d36f2c95eb190/script.js	(from https://aisolutions61.godaddysites.com/ai-solution-for-images)
05:35:30	330591/330591	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2002%20Apr%202024%2009:35:13%20GMT	https://img1.wsimg.com/poly/v3/polyfill.min.js?rum=0&unknown=polyfill&flags=gated&features=Intl.~locale.en-CA	C:/My%20Web%20Sites/page/img1.wsimg.com/poly/v3/polyfill.mincc30.js	(from https://aisolutions61.godaddysites.com/)
05:35:30	316594/316594	---M-Z	200	added ('OK')	application/javascript	etag:%22bf7b7178f01d7ce05d425875d83d7223%22	http://img1.wsimg.com/ceph-p3-01/website-builder-data-prod/static/widgets/UX.4.37.7.js	C:/My%20Web%20Sites/page/img1.wsimg.com/ceph-p3-01/website-builder-data-prod/static/widgets/UX.4.37.7.js	(from https://aisolutions61.godaddysites.com/)
05:35:30	51954/51954	---M-Z	200	added ('OK')	application/javascript	etag:%228fc151860591e8df856a41c36d947eb8%22	http://img1.wsimg.com/blobby/go/853a72ce-af92-467e-ad51-70445f661548/gpub/695483b311a10644/script.js	C:/My%20Web%20Sites/page/img1.wsimg.com/blobby/go/853a72ce-af92-467e-ad51-70445f661548/gpub/695483b311a10644/script.js	(from https://aisolutions61.godaddysites.com/ai-domain)
05:35:30	49090/49090	---M-Z	200	added ('OK')	application/javascript	etag:%22b126ccd44c8cca285148ee0ded100c73%22	http://img1.wsimg.com/blobby/go/853a72ce-af92-467e-ad51-70445f661548/gpub/13c9aa58d00973b1/script.js	C:/My%20Web%20Sites/page/img1.wsimg.com/blobby/go/853a72ce-af92-467e-ad51-70445f661548/gpub/13c9aa58d00973b1/script.js	(from https://aisolutions61.godaddysites.com/private-policy)
